archivo,lineas_codigo,bloques_documentados,variables_detectadas,sha256
app/build.gradle.kts,79,0,0,327918a9526b4cd3eb9087e4c20cb4b2cc8d846a4647c6f8ec5e9f3670e5acb0
app/src/androidTest/java/com/example/mynotes/ExampleInstrumentedTest.kt,24,2,1,5211c2be48ea2b206bc768c25b964211cb44728b4ee8e405cc73d93ed8376c17
app/src/main/java/com/example/mynotes/MainActivity.kt,670,16,24,f2e25987e0259f32185847caa829e442b2f764bd91358b5de0fe0cc39b2a3de8
app/src/main/java/com/example/mynotes/data/AppDataBackupManager.kt,487,16,63,4d00600b45e0626e9b71dedaa85474ceceb562ab57fb13c10281fed13b10838a
app/src/main/java/com/example/mynotes/data/AppDatabase.kt,123,4,3,1fa3a2fe21723358f1effe2847ca51c55e0b5a570ba228dd55d016e0e824fa1d
app/src/main/java/com/example/mynotes/data/Attachment.kt,24,1,6,d84232af3101044da8e2db5fe8ca0039175d6ff21874589361b982eb0ceb42df
app/src/main/java/com/example/mynotes/data/AttachmentDao.kt,69,11,0,b08c95b65977d9cd903a61de27f1ae385743249f560299c65cae57b7171e1ae1
app/src/main/java/com/example/mynotes/data/Note.kt,47,1,9,9214c204b4c1219e4602869c0d979d961f49b5f2d6e76e20afc4aeaeba7c4544
app/src/main/java/com/example/mynotes/data/NoteDao.kt,67,13,0,7283d9e987d8038309551a6abb13e8a51068c000411b46fe2bdaeef3e46071d8
app/src/main/java/com/example/mynotes/data/PendingAttachment.kt,21,1,4,93815c8c9aadf6631ce116f4a15f609e32db70efa1f70ab3db02f0758a21fd50
app/src/main/java/com/example/mynotes/performance/AttachmentPreviewCache.kt,744,28,105,0748d29b164821c2583f9c70b3da5ff6fb50ea85c901f6815038b9647b299b38
app/src/main/java/com/example/mynotes/performance/DisplayPerformanceController.kt,119,8,17,18167bab1876feb4905daebe3eab8190e9164dcda090f933a807548759693b90
app/src/main/java/com/example/mynotes/settings/AppSettings.kt,148,1,42,dc653f621bf3bda12c8371d76bc80cb52eb434c19b45425de23a7a3a53eb7078
app/src/main/java/com/example/mynotes/settings/SettingsRepository.kt,598,68,62,79429b023ece52b638e9e6e1ffef1f6a04df64a13cd3f0f182aeb9fbb577d856
app/src/main/java/com/example/mynotes/settings/SettingsViewModel.kt,6,0,0,addc44b9b2a1d1c1072a28a5219cdcaca9737411da8e7e1797498a97491a6d50
app/src/main/java/com/example/mynotes/ui/AttachmentViewerActivity.kt,1267,39,105,7eaf143a7f4ee5fd842431af578db28a7e9a6618511c1a209fa0f09575bc156d
app/src/main/java/com/example/mynotes/ui/components/AppPopupStyles.kt,38,2,2,7f182fe08bbda18421cd59ce5666b6df12407d4a11c6f3ec2b4f35c99994d6c8
app/src/main/java/com/example/mynotes/ui/components/AttachmentPreviewTile.kt,329,9,15,02a4cd1294006d450f96ff84ca2d992f00ba900aabd7487bf4ca6b4d93ae1144
app/src/main/java/com/example/mynotes/ui/components/BackupRestoreSection.kt,163,1,11,89e8386c8cf33add82aa9ab4b96f66612c65b0dfbbf62788718af85d5a34f20b
app/src/main/java/com/example/mynotes/ui/components/ExtremeCustomizationSection.kt,487,7,32,39f943741a422733881e2400505b398bbb1365c061f58dd13432304ccb23300e
app/src/main/java/com/example/mynotes/ui/components/InlineNoteAttachment.kt,745,10,63,b378709c6468100289997cb3027bd6d69820287d9ac94bf13eb91ae1ba4e4908
app/src/main/java/com/example/mynotes/ui/components/LinkPreviewCard.kt,1691,80,252,7381b843ffff585c506470eb52066dff2b580d04df9b73c87d244b767af2e80c
app/src/main/java/com/example/mynotes/ui/components/NoteCard.kt,747,12,49,2c36c61fc63415aa4e224ce6343c348a7c8d4592d6776c30b26bb861cfec25b0
app/src/main/java/com/example/mynotes/ui/components/NoteCardStyle.kt,14,2,2,09bcb88572c382a2d3deb45244c8f411f71804a6b43b0780c84f0dbd973303e2
app/src/main/java/com/example/mynotes/ui/components/OptionsMenuCustomizationSection.kt,368,8,26,1efc2c1178ca4a0b5f734e21baf96d444186df0d8f1b6983c52165c224c1bf34
app/src/main/java/com/example/mynotes/ui/components/PaletteSelector.kt,195,3,11,8bdcf40d3a8561a120df4c0254a220ca6d74836c6b7fd6272d7e04751014fcad
app/src/main/java/com/example/mynotes/ui/components/SettingsSectionPanel.kt,45,1,4,3fbbffa90be64e618758f3d251b2d14e053e4d409d291f73280e6994b99484a6
app/src/main/java/com/example/mynotes/ui/components/StyledSettingsSlider.kt,281,2,27,5f322821526286538d40d528b5805436e71f7a231291b1a72c24c505914067e3
app/src/main/java/com/example/mynotes/ui/motion/AppMotion.kt,269,15,26,22837809d91b6e1e2958ff293b15165ae6c0be72b704c9ae50e1c167140a1964
app/src/main/java/com/example/mynotes/ui/sound/UiHapticPlayer.kt,197,14,16,b3a702ce9a899a616fa7dbee4d17b07285dc91c2571c0ea20a8145a389506314
app/src/main/java/com/example/mynotes/ui/sound/UiSoundPlayer.kt,263,18,20,3fb898aa5d8388080c45d16698c0a6acb4ffdd685bb346080991fda3deb25e63
app/src/main/java/com/example/mynotes/ui/theme/AppFonts.kt,51,1,8,3b9a9b91cd033607fd9ba69a16e099cdc244233374c1471e1d9bed151359c724
app/src/main/java/com/example/mynotes/ui/theme/Color.kt,11,0,6,985d4a3a3467e6730a5be7a57dc5cfa455d319b2b4a632be69221b5e34418c14
app/src/main/java/com/example/mynotes/ui/theme/NoteColors.kt,164,11,21,00c3bfa988e73a930635adbc6cd8b8f01565b86b49958ff69772a914d3b809b7
app/src/main/java/com/example/mynotes/ui/theme/NoteDetailScreen.kt,705,7,40,3d042b0eea6bc3d99b7936ec5dbba27b8722b59a35d83a1e75e9a6c8b538df98
app/src/main/java/com/example/mynotes/ui/theme/NoteEditorScreen.kt,1004,9,51,cfeb5ea33c106e914059ab1d53a1558897db73d318beaee91607428d3b567a8e
app/src/main/java/com/example/mynotes/ui/theme/NotesScreen.kt,510,5,30,a5fb3a72a2c9895577c4356bf8929b9aff83bfac449878e56dc839023cf691de
app/src/main/java/com/example/mynotes/ui/theme/PaletteCatalog.kt,66,4,1,ecb1fb9ea7fc903aa3bde562db11a1420674b98765c81de111b64108329db3cf
app/src/main/java/com/example/mynotes/ui/theme/SettingsScreen.kt,1051,7,24,3098c2e86dc04905b3e2470c439faccd4686a89317060fc9695474973de548c1
app/src/main/java/com/example/mynotes/ui/theme/SettingsSectionColors.kt,17,2,0,5ecc52a515728448c4813dee55972736a4bd13c563b8a3bcefabbc6009f17b57
app/src/main/java/com/example/mynotes/ui/theme/Theme.kt,267,13,34,0c133f3e450d754536248300863f7ac87e323257e287971f8322635cdcc5da0d
