archivo,lineas_antes,lineas_despues,reduccion_porcentaje
app/build.gradle.kts,176,79,55.11
app/src/androidTest/java/com/example/mynotes/ExampleInstrumentedTest.kt,24,24,0.00
app/src/main/java/com/example/mynotes/MainActivity.kt,1216,670,44.90
app/src/main/java/com/example/mynotes/data/AppDataBackupManager.kt,867,487,43.83
app/src/main/java/com/example/mynotes/data/AppDatabase.kt,178,123,30.90
app/src/main/java/com/example/mynotes/data/Attachment.kt,41,24,41.46
app/src/main/java/com/example/mynotes/data/AttachmentDao.kt,98,69,29.59
app/src/main/java/com/example/mynotes/data/Note.kt,83,47,43.37
app/src/main/java/com/example/mynotes/data/NoteDao.kt,92,67,27.17
app/src/main/java/com/example/mynotes/data/PendingAttachment.kt,21,21,0.00
app/src/main/java/com/example/mynotes/performance/AttachmentPreviewCache.kt,2236,744,66.73
app/src/main/java/com/example/mynotes/performance/DisplayPerformanceController.kt,189,119,37.04
app/src/main/java/com/example/mynotes/settings/AppSettings.kt,227,148,34.80
app/src/main/java/com/example/mynotes/settings/SettingsRepository.kt,1718,598,65.19
app/src/main/java/com/example/mynotes/settings/SettingsViewModel.kt,6,6,0.00
app/src/main/java/com/example/mynotes/ui/AttachmentViewerActivity.kt,2825,1267,55.15
app/src/main/java/com/example/mynotes/ui/components/AppPopupStyles.kt,82,38,53.66
app/src/main/java/com/example/mynotes/ui/components/AttachmentPreviewTile.kt,1008,329,67.36
app/src/main/java/com/example/mynotes/ui/components/BackupRestoreSection.kt,330,163,50.61
app/src/main/java/com/example/mynotes/ui/components/ExtremeCustomizationSection.kt,1137,487,57.17
app/src/main/java/com/example/mynotes/ui/components/InlineNoteAttachment.kt,1334,745,44.15
app/src/main/java/com/example/mynotes/ui/components/LinkPreviewCard.kt,3571,1691,52.65
app/src/main/java/com/example/mynotes/ui/components/NoteCard.kt,2103,747,64.48
app/src/main/java/com/example/mynotes/ui/components/NoteCardStyle.kt,38,14,63.16
app/src/main/java/com/example/mynotes/ui/components/OptionsMenuCustomizationSection.kt,1227,368,70.01
app/src/main/java/com/example/mynotes/ui/components/PaletteSelector.kt,544,195,64.15
app/src/main/java/com/example/mynotes/ui/components/SettingsSectionPanel.kt,59,45,23.73
app/src/main/java/com/example/mynotes/ui/components/StyledSettingsSlider.kt,1074,281,73.84
app/src/main/java/com/example/mynotes/ui/motion/AppMotion.kt,714,269,62.32
app/src/main/java/com/example/mynotes/ui/sound/UiHapticPlayer.kt,365,197,46.03
app/src/main/java/com/example/mynotes/ui/sound/UiSoundPlayer.kt,704,263,62.64
app/src/main/java/com/example/mynotes/ui/theme/AppFonts.kt,125,51,59.20
app/src/main/java/com/example/mynotes/ui/theme/Color.kt,11,11,0.00
app/src/main/java/com/example/mynotes/ui/theme/NoteColors.kt,232,164,29.31
app/src/main/java/com/example/mynotes/ui/theme/NoteDetailScreen.kt,2093,705,66.32
app/src/main/java/com/example/mynotes/ui/theme/NoteEditorScreen.kt,2478,1004,59.48
app/src/main/java/com/example/mynotes/ui/theme/NotesScreen.kt,1315,510,61.22
app/src/main/java/com/example/mynotes/ui/theme/PaletteCatalog.kt,96,66,31.25
app/src/main/java/com/example/mynotes/ui/theme/SettingsScreen.kt,3081,1051,65.89
app/src/main/java/com/example/mynotes/ui/theme/SettingsSectionColors.kt,29,17,41.38
app/src/main/java/com/example/mynotes/ui/theme/Theme.kt,875,267,69.49
app/src/main/java/com/example/mynotes/ui/theme/Type.kt,34,28,17.65
app/src/main/java/com/example/mynotes/viewmodel/NoteViewModel.kt,1186,502,57.67
app/src/main/java/com/example/mynotes/viewmodel/SettingsViewModel.kt,541,280,48.24
app/src/test/java/com/example/mynotes/ExampleUnitTest.kt,17,17,0.00
app/src/test/java/com/example/mynotes/SettingsSectionColorsTest.kt,51,43,15.69
