archivo,sha256,lineas,bytes,imports,declaraciones,funciones,clases_objetos_interfaces,referencias_recursos
app/build.gradle.kts,39f5bb80281605646df213c95938df1e8c06a76a912a8599a2ccd2a942c17a8e,79,3203,0,0,0,0,0
app/src/androidTest/java/com/example/mynotes/ExampleInstrumentedTest.kt,5211c2be48ea2b206bc768c25b964211cb44728b4ee8e405cc73d93ed8376c17,24,666,5,2,1,1,0
app/src/main/java/com/example/mynotes/MainActivity.kt,521e82c74bbb6f3f0492fdea4a35c1b591afab5cbe43a7bd01bd700eea38690f,1169,53520,56,14,11,3,1
app/src/main/java/com/example/mynotes/data/AppDataBackupManager.kt,5d9cc192f4cf9abe63b9fb530651c18a6de7c1917c803cdbfb9a6cf5307b2daa,499,30017,17,14,11,3,0
app/src/main/java/com/example/mynotes/data/AppDatabase.kt,1fa3a2fe21723358f1effe2847ca51c55e0b5a570ba228dd55d016e0e824fa1d,123,4536,6,4,3,1,0
app/src/main/java/com/example/mynotes/data/Attachment.kt,d84232af3101044da8e2db5fe8ca0039175d6ff21874589361b982eb0ceb42df,24,570,4,1,0,1,0
app/src/main/java/com/example/mynotes/data/AttachmentDao.kt,b08c95b65977d9cd903a61de27f1ae385743249f560299c65cae57b7171e1ae1,69,1724,6,3,2,1,0
app/src/main/java/com/example/mynotes/data/Note.kt,9214c204b4c1219e4602869c0d979d961f49b5f2d6e76e20afc4aeaeba7c4544,47,1310,4,1,0,1,0
app/src/main/java/com/example/mynotes/data/NoteDao.kt,7f974ecce790f4e5bcde975e34a669d746ecfe25c96c3e5fab3fe797b94e98db,142,4034,7,3,1,2,0
app/src/main/java/com/example/mynotes/data/PendingAttachment.kt,93815c8c9aadf6631ce116f4a15f609e32db70efa1f70ab3db02f0758a21fd50,21,295,1,1,0,1,0
app/src/main/java/com/example/mynotes/links/LinkPreviewRepository.kt,d4b2960786dec39421214e2588c2684994e39b4fce73d06dd941902fa9ee0cae,606,19825,19,23,20,3,0
app/src/main/java/com/example/mynotes/performance/AttachmentPreviewCache.kt,b5e0d23958e75f3e88b21ab5ff8a6b70f66f3b4c7e470a5a1d98d4801a10b65d,819,39530,26,25,22,3,0
app/src/main/java/com/example/mynotes/performance/DisplayPerformanceController.kt,ce8d178a143a85f44c75e50dfc920c55ea073110dbf6e1bcebb58eab30c0f1fe,129,5920,5,8,7,1,0
app/src/main/java/com/example/mynotes/reminders/Reminder.kt,7375bc5e54aeee254278db147ebf2691165bc8eafa2d2264b0b40d6a0f61eae2,25,781,0,1,0,1,0
app/src/main/java/com/example/mynotes/reminders/ReminderAlarmScheduler.kt,2d50b0fc0d0b816ba420f07b2133f50e6843c7a62bfcb1e8c5e3d2c4a1d46992,53,2066,5,4,3,1,0
app/src/main/java/com/example/mynotes/reminders/ReminderFeedbackPreferences.kt,a39bb2849c6406b315ac111fe43bdfe3be08e3ff5eca52f8d9461dea2f1a6c0c,172,8118,13,5,3,2,0
app/src/main/java/com/example/mynotes/reminders/ReminderReceiver.kt,dfa8498ebf65eaa7b7cf73632f139aa545d9ee9b0be7dd482bd6ee9b94ff21af,250,11821,22,6,5,1,37
app/src/main/java/com/example/mynotes/reminders/ReminderRepository.kt,825bc3d535ccbf1b43c1f0cdaefd207e72f65a84d3303149ffd78101a2bedc26,153,6564,8,10,9,1,0
app/src/main/java/com/example/mynotes/settings/AppSettings.kt,c0f0b3a5c38f821f6aefbb839a7b6ba20e2469293c9feaf04822bac54ca5eaf4,158,5475,1,1,0,1,0
app/src/main/java/com/example/mynotes/settings/SettingsRepository.kt,a1b5c28d763ae7840ec5fa917ca901177858f89d32810b1e784eaeb615446de3,640,32680,10,16,15,1,0
app/src/main/java/com/example/mynotes/settings/SettingsViewModel.kt,addc44b9b2a1d1c1072a28a5219cdcaca9737411da8e7e1797498a97491a6d50,6,167,0,0,0,0,0
app/src/main/java/com/example/mynotes/ui/AttachmentViewerActivity.kt,101848b08850039e7856855274f6c36b7abd876fb83250f0359e935e0bdc4276,1288,57143,118,33,31,2,25
app/src/main/java/com/example/mynotes/ui/components/AppPopupStyles.kt,6630e22ea68d8169cac1d47b77fbea4c4b89c78cda43a79780d3e3d946b1e0b0,143,5654,19,2,2,0,0
app/src/main/java/com/example/mynotes/ui/components/AttachmentPreviewTile.kt,02a4cd1294006d450f96ff84ca2d992f00ba900aabd7487bf4ca6b4d93ae1144,329,14733,52,9,9,0,3
app/src/main/java/com/example/mynotes/ui/components/BackupRestoreSection.kt,89e8386c8cf33add82aa9ab4b96f66612c65b0dfbbf62788718af85d5a34f20b,163,9033,45,1,1,0,16
app/src/main/java/com/example/mynotes/ui/components/ConfigurationModeDialog.kt,b9f0581f2c1ed9ab9146a4b89d30d9ad0acd886d9f99b86ad18df604e63719d5,294,12244,43,2,2,0,8
app/src/main/java/com/example/mynotes/ui/components/ExtremeCustomizationSection.kt,d0469cb4099d1fff457202be58f71d384be3a1e5a475ba5e21a46d6a55182295,631,37016,75,8,5,3,75
app/src/main/java/com/example/mynotes/ui/components/InlineNoteAttachment.kt,b378709c6468100289997cb3027bd6d69820287d9ac94bf13eb91ae1ba4e4908,745,35666,82,10,9,1,11
app/src/main/java/com/example/mynotes/ui/components/LinkPreviewCard.kt,64f3f5dee465d1145cb6bbfb068fcea49b55e020235c7962813e0a0d25caa0c3,1781,87209,68,82,79,3,0
app/src/main/java/com/example/mynotes/ui/components/NoteCard.kt,6388b10cdc88379f74e39a8e94f57e722b8d93b08290cf512d7dbedd1382115d,883,48809,96,12,12,0,38
app/src/main/java/com/example/mynotes/ui/components/NoteCardStyle.kt,f43d417b631714babd5201a0ce3b50a9a6744bab642d4adeaf1bf5b3ea4be44b,16,1168,2,2,1,1,0
app/src/main/java/com/example/mynotes/ui/components/OptionsMenuCustomizationSection.kt,e90945c9af4c2025c57fda46b1d4e1a99927ab3a05733504369eb3fa0848e6de,368,20066,48,8,7,1,44
app/src/main/java/com/example/mynotes/ui/components/PaletteSelector.kt,97497f7e2f3fc5a526543390d39523f071e6e7ef948e6d35cba63292c94ac206,222,10257,48,3,3,0,0
app/src/main/java/com/example/mynotes/ui/components/ProfileImageEditorDialog.kt,599379aad0d59ffcc4ab89b6574953d8a9652572cb8cb78196eda25c5769e4d5,492,23052,74,10,10,0,8
app/src/main/java/com/example/mynotes/ui/components/ScrollPositionCapsule.kt,8e18edfb325b418ff761e18d3bad29b14c2e2014e00b369ca37b7d7a7048c205,272,11357,30,5,5,0,0
